channel_name,video_id,video_title,published_at,view_count,like_count,comment_count,timestamp
CodeWithHarry,xb-fcoMMiTM,End of Web Development?,2026-01-15T08:54:45Z,395150,15763,4154,2026-02-06 18:29:08.587262
CodeWithHarry,sf6ZOBmzhGQ,Which Pays More: Data Science or Data Analytics? | Data Science vs Data Analytics,2026-01-08T15:12:12Z,129484,4746,610,2026-02-06 18:29:08.873223
CodeWithHarry,kxRZkJidkMM,Is This The Best Skill to Learn in 2026?,2025-12-28T13:27:07Z,271773,11646,1095,2026-02-06 18:29:08.991933
CodeWithHarry,FzN_K2E1PzA,This AI can build Mobile Apps with High Accuracy🔥| Manus 1.6 Updates,2025-12-23T11:30:16Z,186268,2315,440,2026-02-06 18:29:09.095832
CodeWithHarry,wmC7G4BuG2w,Lets Try Medo: A Vibecoding Tool with the Best app Marketplace,2025-12-21T15:51:34Z,256453,1735,129,2026-02-06 18:29:09.222125
CodeWithHarry,9UNIK5wIKBU,Top 5 Programming Languages to learn in 2026! (Important),2025-12-11T15:12:25Z,397662,15277,1234,2026-02-06 18:29:09.346992
CodeWithHarry,8jfcloETVVI,Build Multiple Projects in Parallel with This Agentic AI Tool 🔥,2025-12-10T05:30:03Z,129231,1035,94,2026-02-06 18:29:09.452150
CodeWithHarry,8411fEhNKNc,How to become a Data Analyst? | Complete Roadmap for Data Analyst🔥,2025-12-02T11:30:08Z,304806,9734,767,2026-02-06 18:29:09.574950
CodeWithHarry,Oh-jASBQn5o,Complete Data Analytics Course for Absolute Beginners (Zero Prerequisite batch),2025-11-29T11:45:35Z,200816,8115,1160,2026-02-06 18:29:09.677142
CodeWithHarry,ZlAs79nW4P4,ChatGPT ❌ This Agentic AI ✅ (Game Changer) | Manus 1.5,2025-11-24T06:10:14Z,72540,2601,283,2026-02-06 18:29:09.774961
